Bytes; TimeMs
8; 10,4000
1032; 10,6000
2056; 11,7000
3080; 9,6000
4104; 10,0000
5128; 10,2000
6152; 10,4000
7176; 10,2000
8200; 9,6000
9224; 9,8000
10248; 9,9000
11272; 9,8000
12296; 9,8000
13320; 9,9000
14344; 9,8000
15368; 9,8000
16392; 9,8000
17416; 10,0000
18440; 10,1000
19464; 10,2000
20488; 10,1000
21512; 9,8000
22536; 36,0000
23560; 17,0000
24584; 15,9000
25608; 15,7000
26632; 18,0000
27656; 15,7000
28680; 17,2000
29704; 15,1000
30728; 15,6000
31752; 14,5000
32776; 19,6000
33800; 14,9000
34824; 15,5000
35848; 14,7000
36872; 16,1000
37896; 17,4000
38920; 19,3000
39944; 15,7000
40968; 16,6000
41992; 15,2000
43016; 18,6000
44040; 20,9000
45064; 18,1000
46088; 16,5000
47112; 14,6000
48136; 13,0000
49160; 14,0000
50184; 17,0000
51208; 14,7000
52232; 13,5000
53256; 13,7000
54280; 17,8000
55304; 16,0000
56328; 14,1000
57352; 14,0000
58376; 17,0000
59400; 13,2000
60424; 13,5000
61448; 15,9000
62472; 14,3000
63496; 14,1000
64520; 15,3000
65544; 14,8000
66568; 14,7000
67592; 15,8000
68616; 14,8000
69640; 15,9000
70664; 17,1000
71688; 15,6000
72712; 15,7000
73736; 18,0000
74760; 14,5000
75784; 14,6000
76808; 15,0000
77832; 13,5000
78856; 15,2000
79880; 14,4000
80904; 15,0000
81928; 19,3000
82952; 14,9000
83976; 13,6000
85000; 15,8000
86024; 14,5000
87048; 16,7000
88072; 17,7000
89096; 15,7000
90120; 15,1000
91144; 17,2000
92168; 16,9000
93192; 16,8000
94216; 14,7000
95240; 14,7000
96264; 16,9000
97288; 14,6000
98312; 15,5000
99336; 17,5000
100360; 15,6000
101384; 15,0000
102408; 17,8000
103432; 14,8000
104456; 16,2000
105480; 17,1000
106504; 15,8000
107528; 18,3000
108552; 17,4000
109576; 15,6000
110600; 17,9000
111624; 16,7000
112648; 16,6000
113672; 17,4000
114696; 15,2000
115720; 15,2000
116744; 17,6000
117768; 16,7000
118792; 17,5000
119816; 16,8000
120840; 14,7000
121864; 18,8000
122888; 18,2000
123912; 14,8000
124936; 17,6000
125960; 17,9000
126984; 15,0000
128008; 17,4000
129032; 14,9000
130056; 15,5000
131080; 15,4000
132104; 15,6000
133128; 17,9000
134152; 16,7000
135176; 15,2000
136200; 16,2000
137224; 15,9000
138248; 15,8000
139272; 18,5000
140296; 15,1000
141320; 17,6000
142344; 17,1000
143368; 15,9000
144392; 17,0000
145416; 17,3000
146440; 15,8000
147464; 19,1000
148488; 16,4000
149512; 15,6000
150536; 16,8000
151560; 15,1000
152584; 15,8000
153608; 18,4000
154632; 15,0000
155656; 16,5000
156680; 18,0000
157704; 16,6000
158728; 19,0000
159752; 17,3000
160776; 15,7000
161800; 17,7000
162824; 17,3000
163848; 16,2000
164872; 18,1000
165896; 17,4000
166920; 16,4000
167944; 18,1000
168968; 16,9000
169992; 16,6000
171016; 18,2000
172040; 17,8000
173064; 16,4000
174088; 18,8000
175112; 17,5000
176136; 18,6000
177160; 20,3000
178184; 17,9000
179208; 18,5000
180232; 21,0000
181256; 18,6000
182280; 19,2000
183304; 18,0000
184328; 18,4000
185352; 20,0000
186376; 18,6000
187400; 17,3000
188424; 19,8000
189448; 19,1000
190472; 19,5000
191496; 19,6000
192520; 17,4000
193544; 18,8000
194568; 19,6000
195592; 17,9000
196616; 19,0000
197640; 19,6000
198664; 18,3000
199688; 19,8000
200712; 21,2000
201736; 17,9000
202760; 21,7000
203784; 19,5000
204808; 18,3000
205832; 19,7000
206856; 19,1000
207880; 19,7000
208904; 20,8000
209928; 20,7000
210952; 20,7000
211976; 21,3000
213000; 20,2000
214024; 21,8000
215048; 19,7000
216072; 20,9000
217096; 20,5000
218120; 19,6000
219144; 20,1000
220168; 19,9000
221192; 19,7000
222216; 19,8000
223240; 21,5000
224264; 19,4000
225288; 20,8000
226312; 22,1000
227336; 20,3000
228360; 21,5000
229384; 21,7000
230408; 19,2000
231432; 20,4000
232456; 20,7000
233480; 20,7000
234504; 21,4000
235528; 20,1000
236552; 20,7000
237576; 21,2000
238600; 19,9000
239624; 21,5000
240648; 21,4000
241672; 20,7000
242696; 24,1000
243720; 23,6000
244744; 21,5000
245768; 21,1000
246792; 21,1000
247816; 20,1000
248840; 20,9000
249864; 20,2000
250888; 20,1000
251912; 20,6000
252936; 21,3000
253960; 21,8000
254984; 23,6000
256008; 20,8000
257032; 22,3000
258056; 21,7000
259080; 22,6000
260104; 22,0000
261128; 23,3000
262152; 21,7000
263176; 22,6000
264200; 19,3000
265224; 22,2000
266248; 20,9000
267272; 21,0000
268296; 22,7000
269320; 23,7000
270344; 21,2000
271368; 22,4000
272392; 21,0000
273416; 20,2000
274440; 22,7000
275464; 22,2000
276488; 23,3000
277512; 22,0000
278536; 21,7000
279560; 23,0000
280584; 21,4000
281608; 21,7000
282632; 22,4000
283656; 22,8000
284680; 21,9000
285704; 22,9000
286728; 21,9000
287752; 22,2000
288776; 22,3000
289800; 22,8000
290824; 22,5000
291848; 22,6000
292872; 22,5000
293896; 22,9000
294920; 23,0000
295944; 22,8000
296968; 23,7000
297992; 24,8000
299016; 24,9000
300040; 23,1000
301064; 23,8000
302088; 22,4000
303112; 23,3000
304136; 22,4000
305160; 23,8000
306184; 22,5000
307208; 24,0000
308232; 22,2000
309256; 24,4000
310280; 23,8000
311304; 23,0000
312328; 23,9000
313352; 24,0000
314376; 23,0000
315400; 22,9000
316424; 27,2000
317448; 22,7000
318472; 25,5000
319496; 25,0000
320520; 25,1000
321544; 22,7000
322568; 22,8000
323592; 22,7000
324616; 24,6000
325640; 22,4000
326664; 24,6000
327688; 22,3000
328712; 24,6000
329736; 27,8000
330760; 22,5000
331784; 23,1000
332808; 22,8000
333832; 23,3000
334856; 24,2000
335880; 24,8000
336904; 25,8000
337928; 24,2000
338952; 24,5000
339976; 26,1000
341000; 27,6000
342024; 25,2000
343048; 24,0000
344072; 24,9000
345096; 24,0000
346120; 25,0000
347144; 23,8000
348168; 26,2000
349192; 25,0000
350216; 23,6000
351240; 24,8000
352264; 24,8000
353288; 24,5000
354312; 24,5000
355336; 26,1000
356360; 24,1000
357384; 26,2000
358408; 26,4000
359432; 25,6000
360456; 26,3000
361480; 25,1000
362504; 25,6000
363528; 25,2000
364552; 25,6000
365576; 25,5000
366600; 25,6000
367624; 27,5000
368648; 25,8000
369672; 25,5000
370696; 25,9000
371720; 25,5000
372744; 27,9000
373768; 25,9000
374792; 26,7000
375816; 25,7000
376840; 27,7000
377864; 24,9000
378888; 27,3000
379912; 26,9000
380936; 26,0000
381960; 25,1000
382984; 25,1000
384008; 24,5000
385032; 25,2000
386056; 25,9000
387080; 25,7000
388104; 24,9000
389128; 24,8000
390152; 24,9000
391176; 27,4000
392200; 28,4000
393224; 25,8000
394248; 27,6000
395272; 26,3000
396296; 27,4000
397320; 28,3000
398344; 27,5000
399368; 30,2000
400392; 27,6000
401416; 28,3000
402440; 29,4000
403464; 29,0000
404488; 27,3000
405512; 28,3000
406536; 28,8000
407560; 27,9000
408584; 26,4000
409608; 27,5000
410632; 28,0000
411656; 29,1000
412680; 28,7000
413704; 28,7000
414728; 28,6000
415752; 27,8000
416776; 28,4000
417800; 28,8000
418824; 27,9000
419848; 27,5000
420872; 27,8000
421896; 27,1000
422920; 27,8000
423944; 27,8000
424968; 29,2000
425992; 28,8000
427016; 29,2000
428040; 28,1000
429064; 29,3000
430088; 27,7000
431112; 33,1000
432136; 31,3000
433160; 28,6000
434184; 28,7000
435208; 29,6000
436232; 29,6000
437256; 30,0000
438280; 28,2000
439304; 31,1000
440328; 30,8000
441352; 31,0000
442376; 30,1000
443400; 30,7000
444424; 29,5000
445448; 29,3000
446472; 29,6000
447496; 28,9000
448520; 34,5000
449544; 34,3000
450568; 30,4000
451592; 29,2000
452616; 31,4000
453640; 31,4000
454664; 28,4000
455688; 29,2000
456712; 28,3000
457736; 30,3000
458760; 31,7000
459784; 30,3000
460808; 31,3000
461832; 29,7000
462856; 35,0000
463880; 32,0000
464904; 29,7000
465928; 30,2000
466952; 31,2000
467976; 30,6000
469000; 31,4000
470024; 32,9000
471048; 30,4000
472072; 31,2000
473096; 29,8000
474120; 31,4000
475144; 30,7000
476168; 33,8000
477192; 30,6000
478216; 31,0000
479240; 31,5000
480264; 30,6000
481288; 29,9000
482312; 47,8000
483336; 32,7000
484360; 31,4000
485384; 32,6000
486408; 31,1000
487432; 32,0000
488456; 30,8000
489480; 30,4000
490504; 31,1000
491528; 33,8000
492552; 32,7000
493576; 29,6000
494600; 33,1000
495624; 32,1000
496648; 39,1000
497672; 31,6000
498696; 31,4000
499720; 32,2000
500744; 31,2000
501768; 32,9000
502792; 32,5000
503816; 32,7000
504840; 31,6000
505864; 33,7000
506888; 31,4000
507912; 33,8000
508936; 31,8000
509960; 32,1000
510984; 37,3000
512008; 35,0000
513032; 32,7000
514056; 39,0000
515080; 34,6000
516104; 32,4000
517128; 33,2000
518152; 32,6000
519176; 33,0000
520200; 32,7000
521224; 30,7000
522248; 31,6000
523272; 33,9000
524296; 31,6000
525320; 31,3000
526344; 31,9000
527368; 31,8000
528392; 33,1000
529416; 30,7000
530440; 30,7000
531464; 32,5000
532488; 33,6000
533512; 31,1000
534536; 33,9000
535560; 36,2000
536584; 34,5000
537608; 34,5000
538632; 36,7000
539656; 32,3000
540680; 33,1000
541704; 32,5000
542728; 34,1000
543752; 33,0000
544776; 32,8000
545800; 32,0000
546824; 34,1000
547848; 32,8000
548872; 34,8000
549896; 32,7000
550920; 34,3000
551944; 34,1000
552968; 33,3000
553992; 34,2000
555016; 33,3000
556040; 34,0000
557064; 34,7000
558088; 34,2000
559112; 33,7000
560136; 35,2000
561160; 36,7000
562184; 34,0000
563208; 36,3000
564232; 33,6000
565256; 34,9000
566280; 34,6000
567304; 34,9000
568328; 36,7000
569352; 35,9000
570376; 35,4000
571400; 35,8000
572424; 35,6000
573448; 37,4000
574472; 36,5000
575496; 34,8000
576520; 38,1000
577544; 37,1000
578568; 35,6000
579592; 34,4000
580616; 35,5000
581640; 35,6000
582664; 36,0000
583688; 34,9000
584712; 35,9000
585736; 35,8000
586760; 34,9000
587784; 35,8000
588808; 36,0000
589832; 36,8000
590856; 34,5000
591880; 33,3000
592904; 69,8000
593928; 33,7000
594952; 33,6000
595976; 33,5000
597000; 33,8000
598024; 35,7000
599048; 35,1000
600072; 34,5000
601096; 35,1000
602120; 36,0000
603144; 35,3000
604168; 36,1000
605192; 35,1000
606216; 35,2000
607240; 37,2000
608264; 35,2000
609288; 34,9000
610312; 33,4000
611336; 34,1000
612360; 36,1000
613384; 35,6000
614408; 41,4000
615432; 36,5000
616456; 34,7000
617480; 38,2000
618504; 35,8000
619528; 34,7000
620552; 34,9000
621576; 36,7000
622600; 37,8000
623624; 37,5000
624648; 35,6000
625672; 38,1000
626696; 38,4000
627720; 37,5000
628744; 37,8000
629768; 40,2000
630792; 41,3000
631816; 58,9000
632840; 53,2000
633864; 53,7000
634888; 60,1000
635912; 57,7000
636936; 54,8000
637960; 53,5000
638984; 53,2000
640008; 54,0000
641032; 64,6000
642056; 61,6000
643080; 59,5000
644104; 56,2000
645128; 55,6000
646152; 63,7000
647176; 55,1000
648200; 62,8000
649224; 54,5000
650248; 55,8000
651272; 52,7000
652296; 60,7000
653320; 53,5000
654344; 61,0000
655368; 54,8000
656392; 53,4000
657416; 53,6000
658440; 53,2000
659464; 55,5000
660488; 63,8000
661512; 56,2000
662536; 63,9000
663560; 57,0000
664584; 55,8000
665608; 55,6000
666632; 66,6000
667656; 65,6000
668680; 57,6000
669704; 69,8000
670728; 64,3000
671752; 56,4000
672776; 66,3000
673800; 56,0000
674824; 54,4000
675848; 64,8000
676872; 58,1000
677896; 64,1000
678920; 56,5000
679944; 54,8000
680968; 66,4000
681992; 48,4000
683016; 48,4000
684040; 40,5000
685064; 43,8000
686088; 41,3000
687112; 39,7000
688136; 40,0000
689160; 42,8000
690184; 41,1000
691208; 40,6000
692232; 40,6000
693256; 43,2000
694280; 40,9000
695304; 40,7000
696328; 41,2000
697352; 40,2000
698376; 43,2000
699400; 47,7000
700424; 39,8000
701448; 39,4000
702472; 38,6000
703496; 39,2000
704520; 38,9000
705544; 39,0000
706568; 39,6000
707592; 39,5000
708616; 38,4000
709640; 40,3000
710664; 44,3000
711688; 45,4000
712712; 47,5000
713736; 45,0000
714760; 39,8000
715784; 41,7000
716808; 46,1000
717832; 41,6000
718856; 41,7000
719880; 40,8000
720904; 40,9000
721928; 41,6000
722952; 40,5000
723976; 43,0000
725000; 41,5000
726024; 42,6000
727048; 41,4000
728072; 44,6000
729096; 43,0000
730120; 41,7000
731144; 40,9000
732168; 41,7000
733192; 45,0000
734216; 44,5000
735240; 42,1000
736264; 43,3000
737288; 45,4000
738312; 42,2000
739336; 41,8000
740360; 45,0000
741384; 42,4000
742408; 42,6000
743432; 43,0000
744456; 45,2000
745480; 42,3000
746504; 43,6000
747528; 46,3000
748552; 46,2000
749576; 45,6000
750600; 42,8000
751624; 48,0000
752648; 45,7000
753672; 44,3000
754696; 44,1000
755720; 43,7000
756744; 43,8000
757768; 67,5000
758792; 45,0000
759816; 45,1000
760840; 44,5000
761864; 42,8000
762888; 43,5000
763912; 42,3000
764936; 44,9000
765960; 43,9000
766984; 43,2000
768008; 45,8000
769032; 43,7000
770056; 42,8000
771080; 42,9000
772104; 44,6000
773128; 43,6000
774152; 47,3000
775176; 46,1000
776200; 44,1000
777224; 45,2000
778248; 43,4000
779272; 45,2000
780296; 44,2000
781320; 44,2000
782344; 42,8000
783368; 42,9000
784392; 43,3000
785416; 44,4000
786440; 45,0000
787464; 44,9000
788488; 44,0000
789512; 44,1000
790536; 44,7000
791560; 44,9000
792584; 43,0000
793608; 40,4000
794632; 44,1000
795656; 44,3000
796680; 42,7000
797704; 41,5000
798728; 44,8000
799752; 42,6000
800776; 44,8000
801800; 47,9000
802824; 46,0000
