Bytes; TimeMs
8; 9,8000
60; 9,3000
112; 8,9000
164; 9,1000
216; 8,8000
268; 9,0000
320; 9,2000
372; 9,2000
424; 9,3000
476; 9,2000
528; 9,4000
580; 9,4000
632; 9,5000
684; 9,7000
736; 10,3000
788; 9,2000
840; 9,3000
892; 9,5000
944; 9,2000
996; 9,6000
1048; 9,4000
1100; 9,9000
1152; 9,5000
1204; 9,4000
1256; 9,4000
1308; 9,5000
1360; 9,5000
1412; 9,4000
1464; 9,7000
1516; 9,8000
1568; 10,1000
1620; 9,5000
1672; 9,7000
1724; 9,6000
1776; 9,7000
1828; 9,7000
1880; 9,6000
1932; 9,3000
1984; 9,4000
2036; 10,2000
2088; 10,6000
2140; 9,5000
2192; 9,8000
2244; 9,6000
2296; 9,7000
2348; 9,7000
2400; 9,5000
2452; 9,5000
2504; 9,7000
2556; 9,5000
2608; 10,4000
2660; 10,7000
2712; 9,9000
2764; 9,6000
2816; 9,4000
2868; 9,8000
2920; 9,6000
2972; 9,9000
3024; 9,8000
3076; 10,2000
3128; 9,8000
3180; 9,7000
3232; 9,7000
3284; 9,5000
3336; 9,6000
3388; 9,9000
3440; 9,7000
3492; 9,8000
3544; 9,9000
3596; 9,8000
3648; 9,8000
3700; 9,9000
3752; 9,6000
3804; 10,4000
3856; 9,5000
3908; 9,8000
3960; 10,0000
4012; 10,2000
4064; 9,5000
4116; 10,0000
4168; 9,6000
4220; 9,7000
4272; 9,8000
4324; 9,6000
4376; 10,0000
4428; 10,9000
4480; 9,9000
4532; 10,1000
4584; 10,7000
4636; 12,0000
4688; 10,8000
4740; 10,0000
4792; 10,0000
4844; 9,8000
4896; 9,9000
4948; 10,0000
5000; 9,9000
5052; 9,8000
5104; 9,8000
5156; 9,6000
5208; 9,4000
5260; 10,5000
5312; 10,6000
5364; 9,6000
5416; 9,6000
5468; 10,0000
5520; 9,6000
5572; 9,6000
5624; 9,8000
5676; 9,8000
5728; 9,9000
5780; 9,7000
5832; 9,6000
5884; 9,7000
5936; 9,7000
5988; 10,3000
6040; 9,9000
6092; 9,9000
6144; 9,7000
6196; 9,9000
6248; 9,7000
6300; 9,4000
6352; 9,9000
6404; 10,3000
6456; 9,6000
6508; 10,7000
6560; 9,5000
6612; 9,6000
6664; 10,0000
6716; 9,9000
6768; 10,0000
6820; 9,9000
6872; 10,0000
6924; 9,7000
6976; 9,9000
7028; 9,9000
7080; 9,8000
7132; 9,6000
7184; 9,8000
7236; 9,5000
7288; 9,8000
7340; 10,1000
7392; 9,6000
7444; 10,4000
7496; 9,6000
7548; 9,9000
7600; 9,8000
7652; 9,7000
7704; 9,7000
7756; 9,7000
7808; 12,3000
7860; 11,7000
7912; 13,0000
7964; 12,7000
8016; 12,9000
8068; 10,0000
8120; 14,9000
8172; 11,8000
8224; 11,4000
8276; 11,5000
8328; 10,6000
8380; 11,0000
8432; 12,4000
8484; 11,3000
8536; 11,2000
8588; 12,0000
8640; 11,9000
8692; 9,8000
8744; 11,7000
8796; 15,2000
8848; 11,8000
8900; 14,7000
8952; 12,4000
9004; 17,6000
9056; 12,9000
9108; 13,0000
9160; 13,1000
9212; 9,8000
9264; 10,1000
9316; 15,9000
9368; 10,6000
9420; 13,7000
9472; 16,6000
9524; 14,5000
9576; 13,0000
9628; 12,6000
9680; 15,5000
9732; 10,4000
9784; 10,1000
9836; 12,5000
9888; 15,2000
9940; 11,8000
9992; 14,2000
10044; 15,2000
10096; 15,4000
10148; 10,1000
10200; 9,8000
10252; 10,0000
10304; 12,0000
10356; 12,1000
10408; 10,8000
10460; 11,1000
10512; 13,6000
10564; 12,1000
10616; 9,7000
10668; 9,9000
10720; 11,0000
10772; 12,8000
10824; 11,0000
10876; 9,9000
10928; 12,8000
10980; 13,1000
11032; 14,1000
11084; 13,8000
11136; 10,1000
11188; 14,8000
11240; 10,8000
11292; 14,2000
11344; 13,4000
11396; 14,4000
11448; 10,1000
11500; 11,7000
11552; 10,4000
11604; 13,2000
11656; 10,1000
11708; 13,8000
11760; 11,1000
11812; 11,8000
11864; 11,7000
11916; 13,9000
11968; 14,5000
12020; 14,8000
12072; 12,9000
12124; 11,3000
12176; 14,2000
12228; 9,7000
12280; 9,9000
12332; 12,9000
12384; 12,1000
12436; 9,8000
12488; 11,1000
12540; 11,7000
12592; 14,2000
12644; 15,6000
12696; 15,4000
12748; 19,3000
12800; 13,5000
12852; 13,8000
12904; 15,2000
12956; 12,3000
13008; 15,0000
13060; 11,9000
13112; 10,9000
13164; 11,8000
13216; 10,9000
13268; 11,3000
13320; 10,6000
13372; 10,9000
13424; 10,9000
13476; 11,7000
13528; 11,4000
13580; 11,7000
13632; 11,3000
13684; 10,5000
13736; 11,0000
13788; 12,3000
13840; 15,0000
13892; 10,5000
13944; 11,5000
13996; 10,7000
14048; 13,0000
14100; 12,9000
14152; 13,1000
14204; 14,2000
14256; 11,3000
14308; 14,8000
14360; 13,6000
14412; 10,8000
14464; 10,8000
14516; 14,2000
14568; 12,0000
14620; 13,7000
14672; 16,4000
14724; 10,7000
14776; 15,6000
14828; 13,3000
14880; 11,9000
14932; 13,0000
14984; 9,9000
15036; 12,5000
15088; 13,4000
15140; 13,9000
15192; 12,9000
15244; 16,5000
15296; 13,7000
15348; 14,1000
15400; 11,6000
15452; 11,9000
15504; 14,8000
15556; 11,9000
15608; 14,6000
15660; 13,7000
15712; 12,8000
15764; 14,2000
15816; 14,9000
15868; 10,5000
15920; 10,3000
15972; 13,6000
16024; 12,2000
16076; 13,5000
16128; 12,9000
16180; 12,5000
16232; 13,5000
16284; 14,4000
16336; 14,8000
16388; 13,4000
16440; 12,5000
16492; 10,7000
16544; 11,3000
16596; 11,8000
16648; 12,9000
16700; 10,3000
16752; 14,2000
16804; 12,6000
16856; 10,6000
16908; 10,2000
16960; 13,1000
17012; 13,7000
17064; 10,0000
17116; 13,0000
17168; 10,7000
17220; 11,0000
17272; 10,2000
17324; 14,9000
17376; 11,3000
17428; 10,7000
17480; 12,7000
17532; 13,3000
17584; 15,5000
17636; 12,1000
17688; 14,7000
17740; 13,4000
17792; 12,2000
17844; 16,8000
17896; 18,1000
17948; 17,6000
18000; 14,0000
18052; 13,8000
18104; 15,1000
18156; 18,0000
18208; 23,5000
18260; 21,2000
18312; 19,6000
18364; 21,4000
18416; 21,3000
18468; 21,9000
18520; 23,7000
18572; 22,1000
18624; 17,2000
18676; 14,3000
18728; 13,3000
18780; 16,0000
18832; 13,5000
18884; 10,0000
18936; 13,2000
18988; 10,9000
19040; 12,6000
19092; 9,5000
19144; 11,4000
19196; 13,7000
19248; 11,9000
19300; 12,2000
19352; 11,9000
19404; 13,6000
19456; 13,2000
19508; 11,8000
19560; 12,8000
19612; 12,3000
19664; 10,9000
19716; 12,8000
19768; 11,0000
19820; 15,0000
19872; 13,2000
19924; 14,7000
19976; 14,9000
20028; 12,2000
20080; 13,1000
20132; 12,4000
20184; 11,6000
20236; 14,0000
20288; 14,8000
20340; 14,5000
20392; 12,8000
20444; 15,7000
20496; 15,9000
20548; 15,7000
20600; 11,5000
20652; 12,3000
20704; 12,2000
20756; 13,0000
20808; 15,1000
20860; 15,0000
20912; 16,6000
20964; 14,3000
21016; 12,8000
21068; 12,2000
21120; 13,9000
21172; 11,7000
21224; 16,7000
21276; 17,3000
21328; 17,7000
21380; 16,1000
21432; 13,8000
21484; 11,7000
21536; 10,6000
21588; 12,7000
21640; 16,5000
