Bytes; TimeMs
8; 11,5200
9; 10,6400
10; 10,0800
11; 10,6000
12; 10,1200
13; 12,9600
14; 10,8400
15; 10,8000
16; 12,2000
17; 12,0800
18; 10,3600
19; 11,5600
20; 11,0400
21; 11,3600
22; 11,1600
23; 10,4000
24; 10,2800
25; 12,0800
26; 10,6400
27; 11,7600
28; 11,2400
29; 9,7200
30; 11,0000
31; 10,5600
32; 9,7200
33; 10,7600
34; 10,1200
35; 10,4800
36; 9,5200
37; 10,3200
38; 10,0000
39; 11,4400
40; 11,3600
41; 10,3600
42; 12,0800
43; 10,5200
44; 10,6400
45; 10,2000
46; 10,7200
47; 9,8000
48; 11,3600
49; 11,4000
50; 9,8800
51; 10,4400
52; 9,6400
53; 9,8000
54; 10,8000
55; 10,2800
56; 9,7600
57; 10,8400
58; 11,1600
59; 10,4800
60; 10,4800
61; 10,2800
62; 9,9200
63; 10,7200
64; 10,3200
65; 11,8800
66; 10,0800
67; 11,4800
68; 10,7600
69; 11,4000
70; 11,7600
71; 11,1600
72; 11,1600
73; 10,9200
74; 10,2400
75; 9,4000
76; 10,4400
77; 10,9200
78; 10,9600
79; 10,3600
80; 10,1600
81; 10,9200
82; 11,0000
83; 10,9200
84; 9,6000
85; 10,6400
86; 10,0000
87; 12,5600
88; 13,0000
89; 11,0400
90; 9,8400
91; 10,4800
92; 11,0000
93; 10,2400
94; 11,0800
95; 10,4800
96; 10,0400
97; 10,7600
98; 10,6000
99; 10,7600
100; 11,2000
101; 10,2400
102; 10,6800
103; 10,8400
104; 13,0800
105; 10,4800
106; 10,8400
107; 10,0800
108; 11,5200
109; 11,6400
110; 10,6800
111; 9,3600
112; 10,4400
113; 10,2400
114; 9,4800
115; 9,5600
116; 10,8000
117; 11,5200
118; 9,6800
119; 10,2400
120; 11,4400
121; 11,8000
122; 12,0000
123; 11,1600
124; 10,2400
125; 11,1600
126; 11,3200
127; 12,6800
128; 10,9200
129; 11,2800
130; 10,0000
131; 11,5600
132; 10,8000
133; 9,6800
134; 10,1600
135; 9,7200
136; 9,4800
137; 9,9600
138; 9,8400
139; 11,4800
140; 10,3600
141; 9,6000
142; 12,0400
143; 9,7200
144; 10,7200
145; 9,8800
146; 9,7600
147; 11,6400
148; 10,9200
149; 9,8000
150; 9,8800
151; 10,3600
152; 11,2800
153; 10,0000
154; 19,5600
155; 19,4000
156; 10,3600
157; 10,7200
158; 10,9200
159; 10,3600
160; 11,4400
161; 11,4400
162; 11,1200
163; 10,8800
164; 9,8800
165; 10,6800
166; 10,0400
167; 10,8800
168; 10,9200
169; 10,2400
170; 10,2800
171; 10,3200
172; 9,8000
173; 13,0800
174; 10,2000
175; 11,5600
176; 9,6400
177; 9,7600
178; 10,3200
179; 11,4000
180; 9,9600
181; 10,2400
182; 11,4000
183; 14,0000
184; 10,6000
185; 10,2800
186; 9,7600
187; 13,4000
188; 11,2400
189; 10,7200
190; 11,4800
191; 9,9200
192; 10,6000
193; 10,6800
194; 11,2000
195; 10,8000
196; 10,5600
197; 11,1200
198; 12,8000
199; 10,2800
200; 11,5200
201; 9,5600
202; 10,9600
203; 9,8000
204; 10,5600
205; 11,6000
206; 10,1200
207; 10,4800
208; 11,3600
209; 10,0000
210; 10,9200
211; 10,2400
212; 10,2800
213; 11,6400
214; 9,8000
215; 9,9200
216; 10,8000
217; 9,6000
218; 10,9200
219; 11,0800
220; 11,4800
221; 10,8400
222; 10,5600
223; 10,1200
224; 10,6400
225; 10,8000
226; 9,7200
227; 12,0800
228; 10,2400
229; 10,8000
230; 11,7200
231; 9,9600
232; 10,6400
233; 10,4400
234; 10,0000
235; 11,6800
236; 11,1600
237; 11,4400
238; 10,5200
239; 9,5200
240; 11,1200
241; 10,6000
242; 11,2400
243; 10,8400
244; 10,8400
245; 10,1600
246; 9,8800
247; 11,6800
248; 11,5600
249; 10,0000
250; 10,6400
251; 10,1200
252; 10,4400
253; 10,6000
254; 10,5600
255; 9,4000
256; 10,2000
257; 11,3600
258; 12,5600
259; 9,8800
260; 10,1600
261; 10,4800
262; 11,1200
263; 11,4400
264; 12,5600
265; 11,1200
266; 10,0000
267; 10,4000
268; 9,9600
269; 11,3200
270; 11,1200
271; 10,2800
272; 10,2400
273; 10,4000
274; 11,9600
275; 12,6400
276; 10,5200
277; 10,4000
278; 10,1200
279; 9,9600
280; 10,9600
281; 10,8000
282; 10,4800
283; 10,4000
284; 9,8800
285; 10,9600
286; 12,2800
287; 11,5200
288; 9,9600
289; 11,6000
290; 10,4000
291; 10,2000
292; 10,4000
293; 10,5200
294; 11,5600
295; 10,6800
296; 11,3200
297; 9,9200
298; 10,6000
299; 10,2000
300; 11,0400
301; 10,7200
302; 10,0000
303; 10,1600
304; 10,4800
305; 10,7200
306; 11,1600
307; 10,4800
308; 10,2400
309; 11,0400
310; 11,0800
311; 10,5200
312; 10,0800
313; 9,9600
314; 10,8000
315; 10,9200
316; 11,3200
317; 12,2000
318; 11,0000
319; 10,6400
320; 10,3200
321; 10,5600
322; 11,0800
323; 10,9600
324; 13,7200
325; 15,4400
326; 11,8400
327; 10,1600
328; 10,2400
329; 10,5200
330; 10,4400
331; 10,2400
332; 10,4000
333; 11,4800
334; 10,2800
335; 10,6000
336; 9,9600
337; 10,3600
338; 10,6800
339; 10,6800
340; 9,8800
341; 10,6400
342; 10,7600
343; 11,7600
344; 10,7600
345; 11,5200
346; 12,1600
347; 11,2800
348; 12,4800
349; 9,8000
350; 9,9600
351; 10,4800
352; 11,0000
353; 11,1600
354; 9,6000
355; 9,9200
356; 11,3200
357; 10,1200
358; 10,2800
359; 9,8800
360; 10,1600
361; 11,6000
362; 9,2400
363; 10,8000
364; 10,2800
365; 9,8000
366; 10,3200
367; 10,8800
368; 10,5600
369; 11,4000
370; 10,6000
371; 10,2400
372; 11,0000
373; 10,6800
374; 9,8000
375; 12,2400
376; 9,9600
377; 10,6400
378; 9,9200
379; 10,4400
380; 10,4800
381; 10,4400
382; 10,2000
383; 11,4000
384; 10,6000
385; 11,2000
386; 10,1200
387; 11,0800
388; 11,0400
389; 11,1200
390; 10,3200
391; 10,3200
392; 10,5600
393; 10,3200
394; 10,4800
395; 11,0400
396; 11,6400
397; 11,2000
398; 11,9600
399; 11,6000
400; 11,3200
401; 9,7200
402; 11,6800
403; 9,4800
404; 11,5200
405; 10,6400
406; 10,6000
407; 11,6800
408; 10,8800
409; 9,2800
410; 12,4000
411; 11,0000
412; 10,8400
413; 10,4000
414; 10,4000
415; 9,7200
416; 10,2000
417; 10,2400
418; 10,6000
419; 10,6000
420; 11,2400
421; 10,8400
422; 10,4800
423; 10,0000
424; 10,1600
425; 9,9600
426; 10,4800
427; 10,4000
428; 11,3600
429; 10,2000
430; 9,6400
431; 9,7600
432; 10,2000
433; 10,9200
434; 10,2800
435; 10,6000
436; 10,5600
437; 10,4800
438; 10,6400
439; 9,6400
440; 10,6000
441; 9,6400
442; 11,1200
443; 11,0400
444; 9,8000
445; 10,5600
446; 10,4000
447; 10,3600
448; 10,6800
449; 20,7200
450; 12,7200
451; 9,9600
452; 10,9200
453; 11,0000
454; 9,4400
455; 10,3200
456; 10,1200
457; 10,4000
458; 12,8000
459; 12,2000
460; 10,2000
461; 11,6400
462; 10,9600
463; 10,8000
464; 11,0000
465; 11,1600
466; 10,2800
467; 10,8400
468; 10,4000
469; 10,6800
470; 11,9200
471; 10,5200
472; 10,9200
473; 10,2400
474; 9,6800
475; 10,9200
476; 10,0000
477; 10,1600
478; 10,6400
479; 11,0800
480; 10,7200
481; 9,4000
482; 10,8800
483; 10,7200
484; 10,4000
485; 10,2000
486; 9,3600
487; 11,8400
488; 9,9600
489; 10,9200
490; 11,1600
491; 11,2000
492; 10,3200
493; 9,6000
494; 10,3600
495; 12,7600
496; 11,3600
497; 10,4000
498; 10,2000
499; 10,6800
500; 10,1200
501; 11,0400
502; 11,4000
503; 9,8800
504; 10,4000
505; 10,8000
506; 10,9200
507; 9,5600
508; 10,5200
509; 11,3200
510; 10,6800
511; 10,4400
512; 10,2400
513; 10,2800
514; 10,3600
515; 10,6400
516; 10,0000
517; 12,4800
518; 10,5200
519; 10,4000
520; 10,4800
521; 9,9600
522; 11,2000
523; 10,4400
524; 12,2800
525; 10,4400
526; 10,0000
527; 10,6800
528; 10,8400
529; 9,4400
530; 10,4400
531; 10,0800
532; 13,8000
533; 11,3200
534; 10,0000
535; 10,0800
536; 10,9200
537; 10,0800
538; 11,2800
539; 11,4400
540; 11,8000
541; 10,0400
542; 10,1200
543; 11,7200
544; 10,4400
545; 10,9200
546; 11,4000
547; 10,5600
548; 9,8000
549; 10,3200
550; 11,0000
551; 9,6400
552; 10,6800
553; 10,7600
554; 11,7200
555; 10,7600
556; 11,9200
557; 11,3600
558; 11,1600
559; 11,2800
560; 10,4400
561; 11,8000
562; 11,1200
563; 9,8400
564; 10,3600
565; 21,6800
566; 10,8800
567; 11,0400
568; 11,4400
569; 12,2000
570; 10,0800
571; 12,6800
572; 9,6000
573; 10,8400
574; 10,0400
575; 11,1600
576; 9,8400
577; 10,5200
578; 10,0000
579; 10,2800
580; 11,4800
581; 10,4400
582; 19,8400
583; 10,6000
584; 9,7200
585; 11,4800
586; 9,3600
587; 9,8000
588; 10,0800
589; 11,4400
590; 10,7600
591; 10,6800
592; 10,6800
593; 10,9600
594; 9,9600
595; 11,4000
596; 10,4800
597; 11,3600
598; 10,8000
599; 11,2800
600; 10,9600
601; 10,1600
602; 12,2000
603; 10,0000
604; 10,4400
605; 11,3200
606; 11,2800
607; 10,7600
608; 11,0800
609; 9,8000
610; 10,8400
611; 10,8800
612; 10,9600
613; 11,1200
614; 10,4800
615; 10,5600
616; 10,4400
617; 10,2000
618; 10,1200
619; 11,3600
620; 11,1600
621; 10,1600
622; 10,6800
623; 10,5600
624; 10,2400
625; 9,3600
626; 11,2400
627; 10,1200
628; 10,3200
629; 11,6000
630; 10,4800
631; 11,6000
632; 10,8000
633; 11,7600
634; 11,8400
635; 10,6800
636; 10,9200
637; 10,6800
638; 10,8400
